sarea (district),sna (station name),ar (address),tot (number of parking space),lng,lat
萬華區,華西公園,華西街/桂林路(東北側),30,121.498497,25.03860855
大安區,敦化基隆路口,敦化南路二段/基隆路二段交叉口,30,121.5483322,25.02207375
內湖區,東湖國中,康樂街/康樂街125巷(東南側),40,121.6195221,25.07327652
大安區,成功國宅,四維路198巷/和平東路三段1巷,36,121.5467224,25.02680779
內湖區,捷運文德站(2號出口),文德路220巷/文德路(西南側),50,121.5852661,25.07829285
中正區,羅斯福寧波東街口,羅斯福路一段/寧波東街(東南側),26,121.5194092,25.03144455
內湖區,洲子二號公園,瑞光路500號對面,34,121.5686874,25.07932281
大安區,羅斯福新生南路口,羅斯福路四段/新生南路三段交叉口,88,121.5331726,25.01603127
士林區,蘭興公園,中山北路六段/士東路(西北側),40,121.5258865,25.11183929
士林區,捷運芝山站(2號出口),福華路/福華路162巷(東南側),64,121.5226288,25.10335922
北投區,捷運石牌站(2號出口),東華街一段/裕民二路(西側) ,54,121.5156784,25.1145134
北投區,國立臺北護理健康大學,石牌路二段130巷/石牌路二段(東南側),30,121.5175095,25.11804962
北投區,國防大學,中央北路二段/豐年路二段交叉口,46,121.4930649,25.13797569
信義區,捷運永春站(2號出口),忠孝東路五段420號旁(東側巷道上),30,121.5753708,25.04055786
大同區,永樂市場,民樂街/南京西路233巷(西北側),30,121.5105515,25.05450058
大同區,捷運大橋頭站(2號出口),民權西路/重慶北路三段(東北側),46,121.5129089,25.06340408
文山區,文山行政中心,木柵路三段220號前,36,121.5699844,24.9899025
文山區,捷運木柵站,木柵路四段82巷18號前(捷運橋樑下),52,121.5742111,24.99774742
文山區,捷運動物園站(2號出口),新光路二段28號前,72,121.5787506,24.99765968
文山區,國立政治大學,萬壽路16巷6號前,70,121.5765381,24.98836327
大同區,樹德公園,大龍街/大龍街85巷(東北側),40,121.5161514,25.06668854
士林區,捷運士林站(2號出口),中正路247巷/中山北路五段505巷(東南側),46,121.5265579,25.09254646
士林區,士林運動中心,承德路四段/大南路(東北側),32,121.5218124,25.08917427
北投區,捷運明德站,致遠一路一段46巷/西安街一段(東南側),68,121.5183182,25.11033058
北投區,北投運動中心,石牌路一段39巷100號前,62,121.5096207,25.11666489
信義區,松德公園,松德路168巷20號前,38,121.5734329,25.03656769
文山區,考試院,試院路(雙號)/木柵路一段(東北側),34,121.5498276,24.98750687
士林區,百齡國小,前港街100巷/前港街(北方),40,121.5191727,25.0852108
大同區,蔣渭水紀念公園,錦西街51號對面,40,121.5162964,25.05988503
士林區,中正基河路口,中正路420號前,38,121.5198669,25.09339523
內湖區,瑞光港墘路口,瑞光路/港墘路(西南側),30,121.5750504,25.07619286
內湖區,東湖國小,東湖路/東湖路119巷(西北側),38,121.6159363,25.06840897
內湖區,麗山國小,內湖路一段411巷/內湖路一段411巷19弄(東北側),42,121.5714645,25.08270264
內湖區,捷運東湖站,安康路315巷/五分街14巷(西側),48,121.6135025,25.06663513
內湖區,捷運西湖站(1號出口),環山路一段9巷/內湖路一段285巷(西南側),36,121.5666962,25.08286667
大同區,捷運中山站(2號出口),南京西路/南京西路25巷(東北側),30,121.5202866,25.05308151
北投區,大豐公園,磺港路/大興街(東北側),56,121.5037689,25.13114357
中山區,捷運中山國小站(4號出口),民權東路一段/新生北路三段(北側)(新生高架橋下),70,121.5277176,25.06292343
大安區,捷運麟光站2號出口,和平東路三段/和平東路三段416巷(捷運高架橋下),72,121.5592804,25.01809692
北投區,捷運奇岩站,北投路一段/三合街二段(東北側),56,121.5008011,25.12628555
北投區,捷運唭哩岸站(2號出口),西安街二段/立農街一段257巷,62,121.5056915,25.12078857
文山區,臺北市立景美女中,木新路三段/一壽街(西北側),34,121.5561752,24.98060226
中正區,河堤國小,金門街12巷23弄1號旁,44,121.5228577,25.02288055
